DMAND_MVM_ITEM_LCLAS_NM,DMAND_MVM_ITEM_SCLAS_NM,ONE_YEAR_ISE_MVM_EXPRN_PSN_MAIN_DMAND_RATE,ONE_YEAR_ISE_MVM_EXPRN_PSN_TIME_MRGN_PREFER_RATE,ONE_YEAR_ISE_MVM_EXPRN_PSN_CRRNCY_MRGN_PREFER_RATE,ONE_YEAR_ISE_MVM_EXPRN_PSN_ITEM_PREFER_RATE,DMAND_MVM_ITEM_IDEX_VALUE,DMAND_MVM_ITEM_IDEX_RANK_CO,COURSE_ITEM_NM,COURSE_ITEM_CO,COURSE_ITEM_RATE
무도/격투기,무도/격투기_그외종목,0.2,0.3,0.3,0.1,0.228,26,무도/격투기_그외종목,251,8.06555
무도/격투기,유도,0,0,0,0,0,42,유도,39,1.25321
무도/격투기,태권도,0.2,0.4,0.3,0.3,0.3,23,태권도,596,19.15167
무도/격투기,펜싱,0.1,0,0,0,0.026,39,관련 강좌 없음,0,0
기타스포츠,낚시,0.1,0.5,0.7,0.1,0.357,21,낚시,1,0.03213
기타스포츠,등산,1.7,2.3,1.7,1.5,1.808,11,관련 강좌 없음,0,0
기타스포츠,기타스포츠_그외종목,1,17.4,22.5,16.1,14.201,2,관련 강좌 없음,0,0
레저스포츠,조정,0,0.1,0,0,0.026,39,조정,3,0.0964
레저스포츠,수상스키,0,0,0.1,0,0.026,39,관련 강좌 없음,0,0
레저스포츠,스킨스쿠바,0,0,0.2,0,0.051,38,관련 강좌 없음,0,0
레저스포츠,사격,0.1,0.2,0.3,0,0.154,30,관련 강좌 없음,0,0
레저스포츠,레저스포츠_그외종목,0.2,0.1,0.4,0,0.18,27,레저스포츠_그외종목,2,0.06427
레저스포츠,요트,0,0,0,0,0,42,관련 강좌 없음,0,0
레저스포츠,"스노우보드,스키",0.1,0,0.2,0,0.077,36,관련 강좌 없음,0,0
민속스포츠,양궁,0.2,0.1,0.2,0,0.128,31,양궁,4,0.12853
민속스포츠,민속스포츠_그외종목,0,0,0,0,0,42,관련 강좌 없음,0,0
구기및라켓류,테니스,0.4,0.6,0.8,0.1,0.485,18,테니스,1,0.03213
구기및라켓류,탁구,1.8,2.8,2.5,1.4,2.144,8,탁구,182,5.84833
구기및라켓류,배드민턴,0.7,1.5,0.9,1.1,1.049,12,배드민턴,75,2.41003
구기및라켓류,볼링,0.7,1,1.4,1,1.026,13,볼링,73,2.34576
구기및라켓류,구기및라켓류_그외종목,0.9,0.7,1.7,0.2,0.893,14,구기및라켓류_그외종목,23,0.73907
구기및라켓류,게이트볼,0.4,0.4,1,0.3,0.531,16,관련 강좌 없음,0,0
구기및라켓류,골프,0.5,0.4,1.1,0,0.513,17,골프,14,0.44987
구기및라켓류,농구,0.2,0.4,0.8,0.2,0.405,19,농구,59,1.89589
구기및라켓류,축구,0.2,0.6,0.5,0.2,0.38,20,축구,56,1.79949
구기및라켓류,당구,0.2,0.3,0.3,0.6,0.343,22,당구,32,1.02828
구기및라켓류,골볼,0.3,0.2,0.5,0.1,0.28,24,관련 강좌 없음,0,0
구기및라켓류,보치아,0.2,0.2,0.1,0.2,0.174,28,보치아,23,0.73907
구기및라켓류,럭비,0.1,0.2,0.1,0,0.103,33,럭비,2,0.06427
구기및라켓류,배구,0.1,0.1,0.2,0,0.103,33,배구,2,0.06427
구기및라켓류,론볼,0.1,0.2,0,0,0.077,36,론볼,1,0.03213
구기및라켓류,아이스슬레지하키,0,0,0,0,0,42,관련 강좌 없음,0,0
체력단련및생활운동,"자전거,사이클",6.3,4.4,4,2.3,4.302,5,관련 강좌 없음,0,0
체력단련및생활운동,수영,7.2,17,17.1,8.4,12.532,3,수영,451,14.49229
체력단련및생활운동,줄넘기,0.1,0.2,0,0.1,0.1,35,줄넘기,19,0.61054
체력단련및생활운동,재활운동,2.8,4.4,5.3,5.2,4.404,4,재활운동,109,3.50257
체력단련및생활운동,댄스스포츠,0.4,0.8,1,0.4,0.657,15,댄스스포츠,11,0.35347
체력단련및생활운동,맨손체조,3.8,1.6,0.9,1.3,1.916,10,관련 강좌 없음,0,0
체력단련및생활운동,요가,1.3,3.5,2.8,0.6,2.089,9,요가,97,3.11697
체력단련및생활운동,보디빌딩(웨이트트레이닝),4.4,2,2.6,0.9,2.517,7,관련 강좌 없음,0,0
체력단련및생활운동,"육상(걷기,마라톤제외)",0.2,0.1,0.2,0.2,0.174,28,관련 강좌 없음,0,0
체력단련및생활운동,체력단련및생활운동_그외종목,4.1,3,3.6,2.4,3.298,6,체력단련및생활운동_그외종목,450,14.46015
체력단련및생활운동,역도,0.5,0.3,0.2,0.1,0.28,24,역도,2,0.06427
체력단련및생활운동,걷기및가벼운달리기,58.1,31.5,23.2,54.2,41.418,1,관련 강좌 없음,0,0
체력단련및생활운동,마라톤,0.1,0.2,0,0.2,0.123,32,관련 강좌 없음,0,0
